"zona_residencia","rango_etario","ocupacion","cantidad_actividades","tiempo_promedio_viaje"
13,"60+","A.Trabajador asalariado",1137,18.4379947229551
10,"60+","A.Trabajador asalariado",1012,17.5385375494071
11,"60+","A.Trabajador asalariado",833,18.8067226890756
3,"60+","A.Trabajador asalariado",824,14.9538834951456
2,"60+","A.Trabajador asalariado",809,16.4474660074166
14,"60+","A.Trabajador asalariado",780,15.4448717948718
9,"60+","A.Trabajador asalariado",761,19.4139290407359
13,"60+","B.Trabajador por cuenta propia",753,15.9322709163347
8,"60+","A.Trabajador asalariado",713,20.9635343618513
15,"60+","A.Trabajador asalariado",672,18.9166666666667
7,"60+","B.Trabajador por cuenta propia",652,18.2101226993865
6,"60+","A.Trabajador asalariado",649,18.2326656394453
12,"60+","A.Trabajador asalariado",613,17.4551386623165
5,"60+","A.Trabajador asalariado",540,19.4962962962963
7,"60+","A.Trabajador asalariado",516,24.5949612403101
6,"60+","B.Trabajador por cuenta propia",469,19.046908315565
1,"60+","A.Trabajador asalariado",464,19.864224137931
3,"60+","B.Trabajador por cuenta propia",452,15.1327433628319
11,"60+","B.Trabajador por cuenta propia",437,16.0183066361556
13,"60+","D.Estudiante",417,18.6642685851319
2,"60+","B.Trabajador por cuenta propia",386,19.1735751295337
3,"60+","D.Estudiante",377,13.5543766578249
15,"60+","B.Trabajador por cuenta propia",372,15.4596774193548
5,"60+","B.Trabajador por cuenta propia",367,18.1553133514986
9,"60+","B.Trabajador por cuenta propia",348,18.882183908046
11,"60+","D.Estudiante",336,22.3958333333333
10,"60+","B.Trabajador por cuenta propia",332,17.5060240963855
12,"60+","B.Trabajador por cuenta propia",332,15.2198795180723
14,"60+","B.Trabajador por cuenta propia",331,17.5981873111782
16,"60+","A.Trabajador asalariado",313,16.7348242811502
8,"60+","B.Trabajador por cuenta propia",302,17.6490066225166
16,"60+","B.Trabajador por cuenta propia",299,15.6688963210702
14,"60+","D.Estudiante",291,18.5979381443299
1,"60+","B.Trabajador por cuenta propia",272,20.3823529411765
12,"60+","E.Jubilado",245,15.5061224489796
12,"60+","D.Estudiante",238,17.2857142857143
8,"60+","D.Estudiante",237,21.2616033755274
15,"60+","D.Estudiante",222,22.3018018018018
7,"60+","C.Ama de casa",215,16.2418604651163
2,"60+","D.Estudiante",198,18.1616161616162
5,"60+","D.Estudiante",185,22.5135135135135
15,"60+","C.Ama de casa",178,14.8932584269663
2,"60+","C.Ama de casa",176,14.8806818181818
8,"60+","C.Ama de casa",174,17.683908045977
10,"60+","D.Estudiante",174,19.0977011494253
6,"60+","C.Ama de casa",172,20.0581395348837
7,"60+","E.Jubilado",172,15.9825581395349
4,"60+","A.Trabajador asalariado",162,17.9259259259259
13,"60+","E.Jubilado",162,19.7098765432099
6,"60+","D.Estudiante",161,21.9378881987578
8,"60+","E.Jubilado",154,19.6428571428571
7,"60+","D.Estudiante",139,23.8273381294964
9,"60+","C.Ama de casa",137,16.014598540146
1,"60+","D.Estudiante",136,16.3382352941176
9,"60+","D.Estudiante",130,21.7769230769231
2,"60+","E.Jubilado",116,15.3189655172414
5,"60+","C.Ama de casa",108,16.7592592592593
16,"60+","C.Ama de casa",101,15.2970297029703
13,"60+","C.Ama de casa",99,16.1212121212121
16,"60+","D.Estudiante",99,19.1111111111111
9,"60+","E.Jubilado",98,18.3775510204082
10,"60+","E.Jubilado",94,16.436170212766
4,"60+","B.Trabajador por cuenta propia",84,15.452380952381
1,"60+","C.Ama de casa",78,15.9615384615385
15,"60+","E.Jubilado",77,15.1558441558442
3,"60+","C.Ama de casa",76,19.7105263157895
10,"60+","C.Ama de casa",65,20.0461538461538
13,"60+","F.Desocupado",63,28.1111111111111
3,"60+","E.Jubilado",60,18.9166666666667
12,"60+","C.Ama de casa",56,11.858630952381
14,"60+","C.Ama de casa",56,16.6964285714286
14,"60+","E.Jubilado",55,16.8181818181818
11,"60+","F.Desocupado",44,17.4545454545455
14,"60+","F.Desocupado",44,27.4318181818182
15,"60+","F.Desocupado",44,16.6136363636364
11,"60+","E.Jubilado",41,10.609756097561
1,"60+","F.Desocupado",40,14.75
5,"60+","E.Jubilado",37,18.9189189189189
6,"60+","E.Jubilado",35,25.7142857142857
10,"60+","F.Desocupado",27,14.6296296296296
4,"60+","C.Ama de casa",26,12.2692307692308
4,"60+","D.Estudiante",24,22.375
16,"60+","E.Jubilado",23,10
6,"60+","F.Desocupado",20,18.75
3,"60+","F.Desocupado",18,11.6666666666667
8,"60+","F.Desocupado",13,16.9230769230769
7,"60+","F.Desocupado",11,15.4545454545455
11,"60+","C.Ama de casa",10,18.5
1,"60+","E.Jubilado",8,25.625
12,"60+","F.Desocupado",8,41.25
16,"60+","F.Desocupado",8,20
11,NA,NA,1,30
