"identificacion","escenario","tiempo_total","pond_preocupacion","pond_prisa","pond_depresion","pond_tension","pond_calma","pond_disfrute","prom_pond_preocupacion","prom_pond_prisa","prom_pond_depresion","prom_pond_tension","prom_pond_calma","prom_pond_disfrute","a_gusto_prom_tiempo"
"Claudia10103Eduardo","Otro",830,4810,4680,1040,2565,3600,6505,5.79518072289157,5.63855421686747,1.25301204819277,3.09036144578313,4.33734939759036,7.83734939759036,NA
"Claudia10107José","Otro",320,2170,2020,440,1390,1300,2650,6.78125,6.3125,1.375,4.34375,4.0625,8.28125,NA
"Claudia10108Guillermo","Otro",750,2440,800,750,1630,5820,6720,3.25333333333333,1.06666666666667,1,2.17333333333333,7.76,8.96,NA
"Claudia11109Marcela","Otro",860,4435,4685,860,4255,5890,6730,5.15697674418605,5.44767441860465,1,4.94767441860465,6.84883720930233,7.82558139534884,NA
"Claudia11111Juan Pablo","Otro",690,690,690,690,870,5460,6720,1,1,1,1.26086956521739,7.91304347826087,9.73913043478261,NA
"Claudia11111Rosa","Otro",320,460,340,320,440,2500,3140,1.4375,1.0625,1,1.375,7.8125,9.8125,NA
"Claudia11113Julia","Otro",760,3705,2390,1005,4395,3820,6465,4.875,3.14473684210526,1.32236842105263,5.78289473684211,5.02631578947368,8.50657894736842,NA
"Claudia11113Raúl","Otro",600,600,1560,600,1560,3000,4320,1,2.6,1,2.6,5,7.2,NA
"Claudia11114Santiago","Otro",600,2100,2280,600,600,3960,5130,3.5,3.8,1,1,6.6,8.55,NA
"Claudia11118Salvador","Otro",300,300,300,300,300,2340,2400,1,1,1,1,7.8,8,NA
"Claudia11402Juan Manuel","Otro",640,1360,640,820,700,4440,5240,2.125,1,1.28125,1.09375,6.9375,8.1875,NA
"Claudia12302Sergio","Otro",335,2310,335,335,2025,1235,2680,6.8955223880597,1,1,6.04477611940298,3.6865671641791,8,NA
"Claudia12303Elvira","Otro",420,1680,420,420,420,3360,3180,4,1,1,1,8,7.57142857142857,NA
